feature,baseline_loss,masked_loss,importance
odo_mgL,3.3817876151766133e-05,3.8046802122456334e-05,4.228925970690201e-06
depth_m,3.3817876151766133e-05,3.3817876151766133e-05,0.0
odo_pct,3.3817876151766133e-05,3.3817876151766133e-05,0.0
pressure_psia,3.3817876151766133e-05,3.3817876151766133e-05,0.0
spec_cond_uScm,3.3817876151766133e-05,3.3817876151766133e-05,0.0
turbidity_fnu,3.3817876151766133e-05,3.3817876151766133e-05,0.0
sal_ppt,3.3817876151766133e-05,3.095696811972933e-05,-2.8609080320368056e-06
temp_c,3.3817876151766133e-05,1.900659474863965e-05,-1.4811281403126483e-05
