,L0,L1,L2,L6,L7,biscayne_bay,consolidated_crest5
L0,0.0,1.5207547e-06,6.78164e-07,-2.0314483e-06,0.0,2.560423e-06,0.0
L1,-5.465564e-07,0.0,-5.7014677e-07,3.212427e-06,0.0,5.418822e-06,0.0
L2,5.446776e-07,3.215335e-07,0.0,7.519457e-06,0.0,-4.6293846e-07,0.0
L6,3.1546429e-06,-1.6827147e-07,1.1265615e-05,0.0,0.0,-1.9881918e-06,0.0
L7,0.0,-8.9080814e-08,-1.883347e-07,-1.0647874e-07,0.0,0.0,0.0
biscayne_bay,-1.8796727e-06,-2.6659825e-06,-9.678844e-07,2.946133e-07,0.0,0.0,0.0
consolidated_crest5,0.0,3.8522896e-09,-8.720729e-08,-4.2020966e-07,0.0,0.0,0.0
