,temp_c,sal_ppt,odo_mgL,depth_m,pressure_psia,odo_pct,spec_cond_uScm,turbidity_fnu
temp_c,0.0,-0.00087113376,-0.0011007277,-0.0011201674,-0.0011201674,-0.0010545941,-0.0011201674,-0.0010607713
sal_ppt,-0.00071543694,0.0,-0.0009535137,-0.00096447073,-0.00096447073,-0.0009963273,-0.00096447073,-0.00087684183
odo_mgL,-5.7722602e-05,-6.620543e-05,0.0,-7.7162396e-05,-7.7162396e-05,-7.181834e-05,-7.7162396e-05,-8.7282366e-05
depth_m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pressure_psia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odo_pct,5.4049447e-05,-4.338057e-05,-6.1799415e-06,-1.1524001e-05,-1.1524001e-05,0.0,-1.1524001e-05,-5.307894e-05
spec_cond_uScm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turbidity_fnu,-0.0002155362,-0.00018730354,-0.0002850524,-0.00027493245,-0.00027493245,-0.00031648736,-0.00027493245,0.0
