,L0,L1,L2,L6,L7,biscayne_bay,consolidated_crest5
L0,0.0,0.11822187,0.36248532,0.3490449,0.0,0.17024788,0.0
L1,0.1793399,0.0,0.21254633,0.1834262,0.14308798,0.14626838,0.13533124
L2,0.17183863,0.07101176,0.0,0.3549608,0.13832335,0.1350056,0.12885985
L6,0.17446974,0.06656976,0.3744345,0.0,0.1448858,0.10515213,0.13448805
L7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biscayne_bay,0.2357586,0.13301152,0.36874047,0.2624895,0.0,0.0,0.0
consolidated_crest5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
