period,temp,sal,do_per,do_mgL,ph,chl_exo_ugL,secchi,no2no3,nh4,po4,din
2021-09,0.934,-0.051,-0.670,-0.956,-2.018,-0.341,1.412,0.067,0.601,-0.073,0.330
2021-10,0.404,0.112,0.525,0.723,-0.854,-0.286,-0.134,-0.020,0.193,-0.116,0.082
2021-11,-0.613,,0.064,0.052,1.265,-0.252,0.309,-0.156,0.376,-0.079,0.092
2022-08,1.242,0.199,0.877,0.615,-0.463,-0.460,0.794,-0.124,-0.074,-0.109,-0.108
2022-09,1.110,0.014,-0.544,-0.881,-0.238,-0.277,0.164,0.000,0.393,-0.168,0.191
2022-10,-0.088,0.052,-1.165,-1.154,-0.156,-0.023,-0.191,0.089,0.855,-0.116,0.466
2022-12,-1.033,0.620,-1.032,-0.801,-0.142,-0.126,-0.326,-0.074,0.006,-0.034,-0.040
2023-02,-0.267,-0.465,0.708,0.924,1.018,-0.285,0.000,-0.271,-0.336,-0.139,-0.318
2023-04,-0.375,-0.135,-0.053,0.084,0.814,0.326,-0.068,0.412,0.643,-0.080,0.548
